char_ ,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,char__,char_a,char_b,char_c,char_d,char_e,char_f,char_g,char_h,char_i,char_j,char_k,char_l,char_m,char_n,char_o,char_p,char_q,char_r,char_s,char_t,char_u,char_v,char_w,char_x,char_y,char_z
34,2,1,1,1,1,0,0,0,2,2,0,16,2,6,8,19,3,3,2,11,1,0,11,6,13,18,9,0,13,5,10,3,5,2,0,1,1
14,4,1,1,0,0,0,0,0,0,3,0,4,1,2,0,4,1,0,4,2,2,0,8,1,4,3,3,0,1,2,3,2,0,0,2,0,0
219,0,5,2,2,0,4,1,0,0,0,0,80,17,34,48,150,15,27,40,63,5,20,41,34,70,78,23,1,80,46,98,36,8,24,2,13,0
43,0,0,0,0,0,0,0,0,0,0,0,36,7,13,14,24,8,7,17,21,1,1,12,8,21,23,11,0,30,12,15,9,4,3,0,2,0
28,0,0,0,0,0,0,0,0,0,0,0,8,2,11,9,25,0,2,4,9,1,3,4,1,13,8,4,0,10,10,8,6,4,3,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,16,4,13,10,28,2,6,12,9,1,1,12,4,24,12,2,0,21,13,9,8,3,3,0,0,0
211,6,6,10,6,1,2,0,0,0,0,0,82,10,83,36,111,30,14,16,80,2,21,53,40,44,81,50,0,81,66,76,38,13,5,4,9,0
73,2,1,0,1,0,0,0,0,0,0,0,24,10,15,12,47,7,8,13,32,1,6,18,12,21,20,11,2,20,25,38,18,3,9,2,4,0
70,11,5,14,2,3,1,7,3,0,2,0,17,5,12,5,21,6,1,4,11,4,0,20,11,14,17,3,0,7,11,18,14,2,5,3,0,1
14,5,3,5,1,0,0,0,0,0,0,0,2,1,3,0,4,1,0,3,2,1,0,7,1,4,2,2,0,0,2,4,1,0,0,2,0,0
669,11,13,10,3,2,10,0,2,1,5,0,265,42,240,108,396,53,35,57,273,11,47,175,115,257,251,150,4,249,207,319,106,87,65,30,25,1
44,5,2,1,0,4,2,1,0,0,0,0,13,4,7,0,19,3,5,6,15,1,0,3,3,10,14,5,0,18,11,27,8,2,5,1,5,0
23,15,1,5,0,0,0,0,0,1,0,0,6,1,4,1,5,0,2,3,3,1,1,7,0,6,4,4,0,3,4,5,4,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,27,12,18,14,24,7,8,8,29,2,2,15,9,24,27,5,0,24,10,15,15,2,3,2,5,0
23,2,0,2,2,1,2,1,1,3,1,0,12,1,2,4,15,1,1,1,5,3,3,5,4,8,2,2,0,5,5,6,4,3,0,0,0,0
862,9,14,16,11,9,5,9,3,8,7,0,346,89,240,108,471,84,95,71,438,11,55,128,189,308,322,180,4,354,250,357,176,58,47,16,36,0
381,14,7,14,7,4,4,2,3,4,3,0,100,22,144,32,221,16,18,84,73,14,17,64,37,85,120,22,0,109,48,159,64,17,17,1,18,2
80,15,5,6,2,4,1,4,1,0,2,0,23,4,20,2,25,6,5,7,19,5,6,6,18,29,27,6,2,29,9,21,12,2,4,1,6,1
